0.000_1L:5.36,5.29,50.ñ
Offsets:257,263,259,0,-2,-60
P:roll,pitch,yaw;gyrox,gyroy,gyroz;accelx,accely,accelz;magx,magy,magz
5.747_1L:-0.02,-0.00,-0.02_6,-3,-1_0,1,247_0,0,0
5.776_1L:-0.01,-0.00,-0.04_6,-3,-1_0,0,248_0,0,0
5.792_1L:-0.03,-0.02,-0.05_5,-3,-1_0,-1,247_0,0,0
5.808_1L:-0.07,-0.02,-0.05_6,-4,-1_1,-4,250_0,0,0
5.839_1L:-0.17,-0.04,-0.05_6,-4,-1_1,-1,249_0,0,0
5.854_1L:-0.20,-0.06,-0.07_6,-3,-1_0,2,250_146,-200,743
5.886_1L:-0.15,-0.03,1.02_7,-3,-1_1,0,251_146,-200,743
5.902_1L:-0.15,-0.04,2.15_7,-3,-1_0,-2,249_146,-200,743
5.920_1L:-0.18,-0.03,3.21_6,-3,-2_0,0,246_146,-200,743
5.937_1L:-0.17,-0.03,4.30_6,-3,-2_0,1,247_146,-200,743
5.965_1L:-0.14,-0.03,5.32_6,-3,-1_0,-3,249_146,-200,743
5.983_1L:-0.22,-0.02,6.38_6,-3,-1_0,1,247_143,-197,746
6.001_1L:-0.19,-0.00,7.38_7,-3,-1_1,0,248_143,-197,746
6.017_1L:-0.19,-0.01,8.42_7,-4,-1_0,-3,249_143,-197,746
6.046_1L:-0.26,-0.00,9.40_6,-4,-1_0,1,248_143,-197,746
6.064_1L:-0.21,-0.01,10.40_6,-3,-2_0,0,248_143,-197,746
6.081_1L:-0.21,-0.01,11.32_6,-3,-1_1,2,249_143,-197,746
6.109_1L:-0.16,-0.01,12.23_7,-3,-1_1,-3,249_145,-201,746
6.128_1L:-0.23,-0.01,13.17_7,-3,-1_1,-1,249_145,-201,746
6.145_1L:-0.23,-0.03,14.05_6,-3,-2_0,-4,248_145,-201,746
6.161_1L:-0.33,-0.05,14.96_5,-3,-1_0,1,245_145,-201,746
6.190_1L:-0.29,-0.04,15.82_6,-4,-1_1,2,247_145,-201,746
6.207_1L:-0.23,-0.06,16.71_6,-4,-1_0,-3,248_145,-201,746
6.223_1L:-0.28,-0.06,17.52_6,-3,-2_0,1,247_143,-201,747
6.253_1L:-0.24,-0.05,18.37_6,-3,-1_0,1,248_143,-201,747
6.270_1L:-0.22,-0.07,19.16_5,-3,-1_0,0,248_143,-201,747
6.287_1L:-0.21,-0.08,19.97_5,-3,-1_1,1,248_143,-201,747
6.302_1L:-0.21,-0.11,20.73_5,-3,0_1,0,249_143,-201,747
6.333_1L:-0.22,-0.14,21.53_5,-4,0_6,0,251_143,-201,747
6.350_1L:-0.33,-0.24,22.31_7,-6,5_5,7,253_146,-200,744
6.366_1L:-0.37,-0.31,23.14_7,-8,10_13,-2,252_146,-200,744
6.382_1L:-0.67,-0.40,24.04_15,-15,14_45,-10,276_146,-200,744
6.413_1L:-1.62,-0.72,25.26_28,-30,40_90,3,356_146,-200,744
6.430_1L:-4.16,-1.17,26.47_-18,-33,136_24,59,445_146,-200,744
6.446_1L:-9.14,-4.06,27.71_-150,-16,253_-148,-510,571_146,-200,744
6.477_1L:-13.77,-8.80,28.24_-248,52,250_-53,-510,571_165,-341,707
6.494_1L:-16.51,-14.78,27.96_-254,123,139_-24,-510,511_165,-341,707
6.525_1L:-18.38,-20.41,26.67_-254,189,137_-73,-462,396_165,-341,707
6.540_1L:-20.23,-26.60,24.82_-255,220,154_-68,-304,321_165,-341,707
6.557_1L:-22.25,-32.43,23.48_-254,202,168_-81,-159,279_165,-341,707
6.591_1L:-24.99,-36.20,22.21_-224,198,189_-107,-18,230_165,-341,707
6.604_1L:-24.95,-36.40,19.10_-186,209,197_-151,83,215_719,-383,74
6.623_1L:-22.43,-37.40,13.41_-183,210,178_-207,109,201_719,-383,74
