0.000_1L:12.50,18.15,µ
Offsets:257,263,259,-31,0,-59
P:roll,pitch,yaw;gyrox,gyroy,gyroz;accelx,accely,accelz;magx,magy,magz
5.747_1L:-0.02,0.00,0.00_6,-4,-1_-3,-3,248_0,0,0
5.776_1L:-0.09,0.05,-0.02_5,-3,-2_-3,-3,248_0,0,0
5.793_1L:-0.15,0.10,-0.02_5,-4,-2_-3,0,249_0,0,0
5.809_1L:-0.17,0.16,-0.02_6,-4,0_-2,0,251_0,0,0
5.839_1L:-0.19,0.19,-0.02_6,-4,0_-2,-4,247_0,0,0
5.857_1L:-0.29,0.22,-0.04_6,-3,-1_-2,-5,250_34,-214,747
5.887_1L:-0.37,0.24,1.30_6,-3,-2_-3,-4,250_34,-214,747
5.903_1L:-0.43,0.29,2.72_6,-4,-2_-2,-1,249_34,-214,747
5.921_1L:-0.43,0.31,4.06_6,-4,-1_-2,0,247_34,-214,747
5.935_1L:-0.42,0.32,5.44_6,-3,0_-4,-2,247_34,-214,747
5.966_1L:-0.42,0.38,6.75_6,-3,-2_-3,-3,250_34,-214,747
5.982_1L:-0.45,0.42,8.13_6,-4,-2_-2,-1,251_35,-221,745
6.001_1L:-0.45,0.44,9.44_7,-4,-1_-2,0,249_35,-221,745
6.018_1L:-0.42,0.46,10.79_7,-4,-1_-2,-1,249_35,-221,745
6.047_1L:-0.40,0.46,12.06_6,-3,-2_-2,-5,249_35,-221,745
6.064_1L:-0.48,0.46,13.37_6,-3,-2_-4,-1,248_35,-221,745
6.082_1L:-0.49,0.51,14.61_6,-3,0_-2,0,250_35,-221,745
6.097_1L:-0.50,0.52,15.83_7,-3,1_0,-7,251_35,-217,748
6.129_1L:-0.61,0.49,17.10_7,-3,-2_0,-10,249_35,-217,748
6.144_1L:-0.76,0.45,18.29_6,-3,-3_-1,-1,248_35,-217,748
6.160_1L:-0.71,0.42,19.53_6,-3,-2_-5,1,247_35,-217,748
6.190_1L:-0.65,0.49,20.69_6,-3,0_-4,-1,249_35,-217,748
6.208_1L:-0.65,0.54,21.92_6,-4,0_-2,-6,249_35,-217,748
6.225_1L:-0.72,0.51,23.07_5,-4,-2_-1,-5,250_34,-212,746
6.255_1L:-0.80,0.47,24.26_5,-4,0_-2,0,246_34,-212,746
6.271_1L:-0.82,0.45,25.40_5,-5,3_-3,2,249_34,-212,746
6.289_1L:-0.78,0.46,26.58_5,-5,3_-3,-4,251_34,-212,746
6.305_1L:-0.87,0.46,27.70_5,-6,2_2,-8,255_34,-212,746
6.334_1L:-0.76,0.18,28.90_-4,-8,-13_-6,-51,256_34,-212,746
6.351_1L:-1.48,-0.03,30.19_-12,-17,-16_11,-12,282_39,-220,745
6.367_1L:-1.83,-0.53,31.57_-11,-19,11_69,-120,369_39,-220,745
6.398_1L:-2.45,-1.38,32.60_-41,-3,31_36,-213,458_39,-220,745
6.415_1L:-4.09,-3.60,33.35_-109,18,82_36,-196,479_39,-220,745
6.433_1L:-7.36,-6.93,34.04_-175,30,175_96,-264,478_39,-220,745
6.450_1L:-10.86,-10.98,34.53_-199,56,182_130,-360,466_39,-220,745
6.479_1L:-13.27,-15.33,34.52_-216,95,140_101,-348,440_265,-369,663
