0.000_1L:þ
Offsets:257,262,259,-43,-14,-59
P:roll,pitch,yaw;gyrox,gyroy,gyroz;accelx,accely,accelz;magx,magy,magz
5.744_1L:-0.02,0.02,-0.00_6,-3,-1_3,3,249_0,0,0
5.775_1L:0.02,-0.04,-0.00_6,-3,0_0,-2,248_0,0,0
5.791_1L:-0.05,-0.01,0.00_6,-3,-1_-1,-3,251_0,0,0
5.807_1L:-0.11,0.03,-0.00_6,-3,-2_1,-1,249_0,0,0
5.838_1L:-0.14,0.02,-0.02_6,-2,-1_2,1,248_0,0,0
5.855_1L:-0.14,-0.01,-0.04_6,-2,0_-1,-3,248_47,-434,830
5.887_1L:-0.22,0.04,1.31_6,-2,-1_-1,-5,250_47,-434,830
5.903_1L:-0.31,0.10,2.72_7,-2,-2_1,-2,248_47,-434,830
5.921_1L:-0.33,0.10,4.06_7,-2,-2_2,3,248_47,-434,830
5.938_1L:-0.24,0.06,5.46_6,-2,-1_0,2,248_47,-434,830
5.954_1L:-0.21,0.09,6.79_7,-2,0_-1,-2,250_47,-434,830
5.983_1L:-0.25,0.14,8.18_7,-2,-1_1,-5,250_46,-432,822
6.002_1L:-0.34,0.13,9.49_6,-2,-2_0,-5,248_46,-432,822
6.018_1L:-0.42,0.13,10.86_6,-2,-2_-1,-1,248_46,-432,822
6.047_1L:-0.42,0.16,12.16_6,-2,-1_-1,1,250_46,-432,822
6.065_1L:-0.37,0.19,13.51_6,-2,-1_0,0,248_46,-432,822
6.079_1L:-0.36,0.19,14.78_6,-2,-1_-1,-1,249_46,-432,822
6.096_1L:-0.36,0.21,16.06_6,-3,-1_1,-4,250_51,-431,826
6.129_1L:-0.42,0.18,17.39_6,-3,-2_0,-2,250_51,-431,826
6.145_1L:-0.42,0.18,18.64_6,-3,-2_2,1,248_51,-431,826
6.162_1L:-0.38,0.13,19.94_6,-3,-1_0,2,249_51,-431,826
6.191_1L:-0.33,0.14,21.17_6,-3,0_0,-2,250_51,-431,826
6.208_1L:-0.36,0.14,22.44_6,-3,-1_-1,-4,249_51,-431,826
6.226_1L:-0.44,0.15,23.65_5,-4,-1_-2,-1,247_49,-437,831
6.255_1L:-0.47,0.19,24.93_5,-5,1_-8,2,245_49,-437,831
6.271_1L:-0.51,0.31,26.16_3,-6,5_-14,12,242_49,-437,831
6.289_1L:-0.39,0.51,27.43_0,-6,9_-45,12,249_49,-437,831
6.306_1L:-0.19,1.13,28.61_-12,-5,4_-103,-39,273_49,-437,831
6.335_1L:-0.83,1.78,29.72_-38,0,2_-206,-94,318_49,-437,831
6.353_1L:-2.23,0.31,30.57_-76,13,73_-167,-56,426_71,-427,802
6.368_1L:-5.13,-1.46,31.09_-87,30,147_-103,-192,433_71,-427,802
6.398_1L:-7.76,-3.37,31.58_-97,36,141_45,-163,390_71,-427,802
6.415_1L:-10.51,-5.46,31.93_-98,49,142_224,-104,365_71,-427,802
6.432_1L:-12.76,-7.50,32.08_-96,63,125_343,-109,352_71,-427,802
6.448_1L:-13.81,-10.04,31.89_-109,87,61_459,-36,326_71,-427,802
6.479_1L:-14.21,-12.49,31.54_-108,97,33_506,63,264_387,-492,519
6.498_1L:-14.84,-15.13,30.54_-98,97,46_554,51,235_387,-492,519
6.514_1L:-14.33,-17.62,29.57_-107,105,-7_554,-69,217_387,-492,519
6.543_1L:-12.63,-20.73,28.82_-137,96,-69_554,31,86_387,-492,519
6.560_1L:-12.15,-23.77,28.82_-151,58,-18_554,280,-82_387,-492,519
6.578_1L:-12.99,-27.06,29.87_-167,11,28_554,423,-146_387,-492,519
6.595_1L:-13.95,-30.11,32.16_-177,-47,0_523,235,-49_668,-348,261
6.625_1L:-15.13,-29.88,36.76_-34,-188,-55_166,378,-44_668,-348,261
6.643_1L:-17.83,-27.96,41.44_37,-251,22_-391,495,53_668,-348,261
6.659_1L:-20.99,-25.99,46.36_18,-260,44_-469,78,422_668,-348,261
6.686_1L:-20.29,-23.96,50.73_27,-260,-144_-469,-222,494_668,-348,261
6.703_1L:-18.51,-19.97,54.14_148,-260,-170_-469,-498,461_668,-348,261
6.736_1L:-17.10,-16.44,55.22_156,-134,-99_-422,-498,557_205,-630,340
6.751_1L:-16.45,-19.83,52.69_-96,175,18_-74,-193,291_205,-630,340
6.765_1L:-15.25,-21.80,50.72_-86,172,-29_-55,59,129_205,-630,340
6.795_1L:-13.41,-22.34,48.64_-16,142,-19_-162,44,160_205,-630,340
6.812_1L:-11.34,-18.30,46.17_19,130,29_-308,44,241_205,-630,340
6.829_1L:-11.65,-19.14,44.13_-10,153,66_-390,-34,321_205,-630,340
6.845_1L:-11.67,-21.01,41.79_-58,173,59_-433,-66,314_482,-511,315
6.877_1L:-11.98,-22.82,38.96_-53,155,73_-336,-11,234_482,-511,315
